,title,link,year,rating,runtime_mins,genres,votes,metascore,gross,synopsis
600,Star Wars: Episode VII - The Force Awakens,https://www.imdb.com//title/tt2488496/,2015,7.8,138,"['Action', 'Adventure', 'Sci-Fi']",873947,80.0,$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
601,The Great Beauty,https://www.imdb.com//title/tt2358891/,2013,7.8,141,['Drama'],82980,86.0,$2.85M,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
602,The Lunchbox,https://www.imdb.com//title/tt2350496/,2013,7.8,104,"['Drama', 'Romance']",52179,76.0,$4.23M,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
603,Vicky Donor,https://www.imdb.com//title/tt2317337/,2012,7.8,126,"['Comedy', 'Romance']",40623,,$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
604,Big Hero 6,https://www.imdb.com//title/tt2245084/,2014,7.8,102,"['Animation', 'Action', 'Adventure']",420878,74.0,$222.53M,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
605,Kai po che!,https://www.imdb.com//title/tt2213054/,2013,7.8,130,"['Drama', 'Sport']",34099,,$1.12M,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.
606,About Time,https://www.imdb.com//title/tt2194499/,2013,7.8,123,"['Comedy', 'Drama', 'Fantasy']",315078,,$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
607,English Vinglish,https://www.imdb.com//title/tt2181931/,2012,7.8,134,"['Comedy', 'Drama', 'Family']",34312,,$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
608,The Wind Rises,https://www.imdb.com//title/tt2013293/,2013,7.8,126,"['Animation', 'Biography', 'Drama']",76684,83.0,$5.21M,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
609,Deception,https://www.imdb.com//title/tt1924396/,2013,7.8,131,"['Crime', 'Drama', 'Mystery']",111392,,$0.09M,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
610,Moonrise Kingdom,https://www.imdb.com//title/tt1748122/,2012,7.8,94,"['Comedy', 'Drama', 'Romance']",326221,84.0,$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
611,How to Train Your Dragon 2,https://www.imdb.com//title/tt1646971/,2014,7.8,102,"['Animation', 'Action', 'Adventure']",311742,76.0,$177.00M,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
612,The Big Short,https://www.imdb.com//title/tt1596363/,2015,7.8,130,"['Biography', 'Comedy', 'Drama']",378478,81.0,$70.26M,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.
613,I Saw the Devil,https://www.imdb.com//title/tt1588170/,2010,7.8,144,"['Action', 'Crime', 'Drama']",115928,67.0,$0.13M,A secret agent exacts revenge on a serial killer through a series of captures and releases.
614,The Girl with the Dragon Tattoo,https://www.imdb.com//title/tt1568346/,2011,7.8,158,"['Crime', 'Drama', 'Mystery']",432915,71.0,$102.52M,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
615,Captain Phillips,https://www.imdb.com//title/tt1535109/,2013,7.8,134,"['Adventure', 'Biography', 'Crime']",430124,82.0,$107.10M,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
616,The Man from Nowhere,https://www.imdb.com//title/tt1527788/,2010,7.8,119,"['Action', 'Crime', 'Drama']",64768,,$0.01M,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
617,Straight Outta Compton,https://www.imdb.com//title/tt1398426/,2015,7.8,147,"['Biography', 'Drama', 'History']",184456,72.0,$161.20M,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
618,The Irishman,https://www.imdb.com//title/tt1302006/,2019,7.8,209,"['Biography', 'Crime', 'Drama']",341049,94.0,$7.00M,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.
619,Mother,https://www.imdb.com//title/tt1216496/,2009,7.8,129,"['Crime', 'Drama', 'Mystery']",55915,79.0,$0.55M,A mother desperately searches for the killer who framed her son for a girl's horrific murder.
620,The Chaser,https://www.imdb.com//title/tt1190539/,2008,7.8,125,"['Action', 'Crime', 'Thriller']",60473,64.0,,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.
621,Moon,https://www.imdb.com//title/tt1182345/,2009,7.8,97,"['Drama', 'Mystery', 'Sci-Fi']",340818,67.0,$5.01M,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
622,The Hobbit: The Desolation of Smaug,https://www.imdb.com//title/tt1170358/,2013,7.8,161,"['Adventure', 'Fantasy']",612316,66.0,$258.37M,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
623,The White Ribbon,https://www.imdb.com//title/tt1149362/,2009,7.8,144,"['Drama', 'History', 'Mystery']",69908,82.0,$2.22M,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?"
624,The Girl with the Dragon Tattoo,https://www.imdb.com//title/tt1132620/,2009,7.8,152,"['Crime', 'Drama', 'Mystery']",210886,76.0,$10.10M,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
625,The Trial of the Chicago 7,https://www.imdb.com//title/tt1070874/,2020,7.8,129,"['Drama', 'History', 'Thriller']",149034,76.0,,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
