,title,link,year,rating,runtime_mins,genres,votes,metascore,gross,synopsis
38,The Departed,https://www.imdb.com//title/tt0407887/,2006,8.5,151,"['Crime', 'Drama', 'Thriller']",1218425,85,$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
39,The Pianist,https://www.imdb.com//title/tt0253474/,2002,8.5,150,"['Biography', 'Drama', 'Music']",752853,85,$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
40,Gladiator,https://www.imdb.com//title/tt0172495/,2000,8.5,155,"['Action', 'Adventure', 'Drama']",1373088,67,$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
41,American History X,https://www.imdb.com//title/tt0120586/,1998,8.5,119,['Drama'],1052579,62,$6.72M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
42,The Usual Suspects,https://www.imdb.com//title/tt0114814/,1995,8.5,106,"['Crime', 'Mystery', 'Thriller']",1011232,77,$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
43,Leon,https://www.imdb.com//title/tt0110413/,1994,8.5,110,"['Action', 'Crime', 'Drama']",1061006,64,$19.50M,"Mathilda, a 12-year-old girl, is reluctantly taken in by Lï¿½ï¿½on, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protï¿½ï¿½gï¿½ï¿½e and learns the assas"
44,The Lion King,https://www.imdb.com//title/tt0110357/,1994,8.5,88,"['Animation', 'Adventure', 'Drama']",965582,88,$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
45,Terminator 2: Judgment Day,https://www.imdb.com//title/tt0103064/,1991,8.5,137,"['Action', 'Sci-Fi']",1014933,75,$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg."
46,Cinema Paradiso,https://www.imdb.com//title/tt0095765/,1988,8.5,155,"['Drama', 'Romance']",237978,80,$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
47,Grave of the Fireflies,https://www.imdb.com//title/tt0095327/,1988,8.5,89,"['Animation', 'Drama', 'War']",244834,94,,A young boy and his little sister struggle to survive in Japan during World War II.
48,Back to the Future,https://www.imdb.com//title/tt0088763/,1985,8.5,116,"['Adventure', 'Comedy', 'Sci-Fi']",1087782,87,$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
49,Once Upon a Time in the West,https://www.imdb.com//title/tt0064116/,1968,8.5,165,['Western'],308800,80,$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
50,Psycho,https://www.imdb.com//title/tt0054215/,1960,8.5,109,"['Horror', 'Mystery', 'Thriller']",618245,97,$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
51,Rear Window,https://www.imdb.com//title/tt0047396/,1954,8.5,112,"['Mystery', 'Thriller']",454074,100,$36.76M,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
52,Casablanca,https://www.imdb.com//title/tt0034583/,1942,8.5,102,"['Drama', 'Romance', 'War']",532220,100,$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
53,Modern Times,https://www.imdb.com//title/tt0027977/,1936,8.5,87,"['Comedy', 'Drama', 'Family']",223713,96,$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
54,City Lights,https://www.imdb.com//title/tt0021749/,1931,8.5,87,"['Comedy', 'Drama', 'Romance']",171887,99,$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
55,Hamilton,https://www.imdb.com//title/tt8503618/,2020,8.4,160,"['Biography', 'Drama', 'History']",66673,90,,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
56,Capernaum,https://www.imdb.com//title/tt8267604/,2018,8.4,126,['Drama'],70248,75,$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
